Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000631583768841232,-4.98983354635385E-11,0.0185710296512339,0,0,0,0.0793945339384899,2.73302961659096E-05,-1.14020192447604E-12,2.86317776549754E-08,2.62165201865506E-05,-9.86803596469321E-13,3.56824415579562E-05,0,0,0,0,0,0,package://RH56F1_L/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/base_link.STL,,镜向法兰063000-2,l_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thumb_1,0.000178016042396457,-0.00586614267063101,-0.00479802982837123,0,0,0,9.97298007735405E-07,4.15678475756084E-11,-2.23171028288232E-13,1.75941580053884E-14,1.64855368819996E-11,1.86678233553997E-12,3.20897645310689E-11,0,0,0,0,0,0,package://RH56F1_L/meshes/left_thumb_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_thumb_1.STL,,1..01063一体扇齿基座-右.063000-1,l_1,l_1a,left_thumb_1_joint,revolute,0.01836,-0.027241,0.070511,0,0,0,base_link,8.7274E-05,0,1,1,2,0,1,,,,,,,,
left_thumb_2,0.0228479292737016,0.00851307608083648,0.00480018351641529,0,0,0,0.00690498449962505,2.09589214666564E-06,-6.98738312767523E-07,8.02294497171235E-11,1.56783230460708E-06,1.12379759584671E-10,2.98846363144458E-06,0,0,0,0,0,0,package://RH56F1_L/meshes/left_thumb_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_thumb_2.STL,,镜向1..0105_大拇指_asm.063000-2/镜向1..01063大拇指近端外壳-左.063000-1,l_2,l_2a,left_thumb_2_joint,revolute,0.005034,-0.01349,-0.0049121,1.5707,0,-1.5708,left_thumb_1,0,0,-1,1,2,0,1,,,,,,,,
left_thumb_3,0.0113918020396206,0.0024157965144963,0.00794990518653381,0,0,0,0.00402970730790887,4.58293346409419E-07,-1.57324855087144E-08,2.2989943749575E-10,4.1943401539388E-07,5.0955938012377E-10,5.1122671773797E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/left_thumb_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_thumb_3.STL,,镜向1..0105_大拇指_asm.063000-2/镜向1..01063大拇指中节外壳.063000-1,l_3,l_3a,left_thumb_3_joint,revolute,0.033907,0.034601,-0.0029656,0,0,0,left_thumb_2,0,0,-1,1,2,0,1,,,,,,,,
left_thumb_4,0.0110754635287816,0.00939398172293405,0.00679997379849621,0,0,0,0.00466248667886476,3.58377645056171E-07,-8.65702206004016E-08,-3.01819452321262E-13,1.73687796561969E-07,-2.23070587243767E-13,3.80314750386229E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/left_thumb_4.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_thumb_4.STL,,镜向1..0105_大拇指_asm.063000-2/镜向1拇指指尖063000-1,l_4,l_4a,left_thumb_4_joint,revolute,0.01441,0.014648,0.0013,0,0,0,left_thumb_3,0,0,-1,1,2,0,1,,,,,,,,
thumb_force_sensor,0.00489751957141649,0.0007076731556618,-0.00883776267773212,0,0,0,0.00466248667886476,1.79989364151574E-07,-1.50522774375263E-08,9.1564777229497E-08,3.79222675764095E-07,6.12335938771389E-09,3.531681520887E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/thumb_force_sensor.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/thumb_force_sensor.STL,,镜向1..0105_大拇指_asm.063000-2/镜向1拇指指尖063000-1,l_thumb_pad,,thumb_force_sensor_joint,fixed,0.0082761,0.019128,0.0068,1.5194,0.0515,-2.3562,left_thumb_4,0,0,0,,,,,,,,,,,,
thumb_tip,8.11478806861891E-05,-0.00949601991936605,-0.0139509187579862,0,0,0,0.00466248667886476,3.80313669487945E-07,3.02055609929269E-10,5.37609970683213E-10,3.03300072388769E-07,-1.20966591179576E-07,2.28766450127656E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/thumb_tip.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/thumb_tip.STL,,镜向1..0105_大拇指_asm.063000-2/镜向1拇指指尖063000-1,l_thumb_tip,,thumb_tip_joint,fixed,0.016676,0.025314,0.0067577,1.8172,-1.5641,-3.1286,left_thumb_4,0,0,0,,,,,,,,,,,,
left_index_1,-0.000213062892778337,0.0129667174634311,-0.00700008872780972,0,0,0,0.00374550826243779,5.64051283941504E-07,-1.01457619178134E-08,1.00869970840755E-11,2.40235581624492E-07,-8.21615150319913E-12,5.89304056726917E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/left_index_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_index_1.STL,,镜向1..0103_食指手指_asm.0631000-3/镜向1..01063-指腹左壳.063000-1,l_5,l_5a,left_index_1_joint,revolute,0.00070753,-0.034377,0.13554,1.6319,0,0,base_link,0,0,-1,1,2,0,1,,,,,,,,
left_index_2,-0.00338943687028216,0.0177134289921484,-0.00599977694684456,0,0,0,0.00550936292924725,8.4116743763956E-07,-1.48808268569786E-07,-4.99163204259569E-12,1.60208220478498E-07,-1.55760278512455E-11,8.58197295486266E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/left_index_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/left_index_2.STL,,镜向1..0103_食指手指_asm.0631000-3/镜向1食指指尖063000-1,l_6,l_6a,left_index_2_joint,revolute,0.0031056,0.032854,-0.001,0,0,0,left_index_1,0,0,1,1,2,0,1,,,,,,,,
index_force_sensor,0.00120718275325524,-0.012261274947138,-0.00640384837472582,0,0,0,0.00550936060549432,8.54388521791596E-07,5.27935851466365E-08,6.11121863603774E-10,1.33405871510333E-07,-1.83053554666345E-08,8.71777344387361E-07,0,0,0,0,0,0,package://RH56F1_L/meshes/index_force_sensor.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_L/meshes/index_force_sensor.STL,,镜向1..0103_食指手指_asm.0631000-3/镜向1食指指尖063000-1,l_index_pad,,index_force_sensor_joint,fixed,0.005139,0.028671,-0.0059996,-2.1954,1.4829,-2.3749,left_index_2,0,0,0,,,,,,,,,,,,
