Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000631584180168987,1.55468476565051E-09,0.0185710308410627,0,0,0,0.0793945003608915,2.73302869871105E-05,4.73396056660905E-13,2.86328005285174E-08,2.62165141408126E-05,1.90463743334758E-12,3.5682432554866E-05,0,0,0,0,0,0,package://RH56F1_R/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RH56F1_R/meshes/base_link.STL,,法兰063-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_thumb_1,-9.82068421802144E-05,0.00586804109470246,-0.00479800572186055,0,0,0,9.97298007623015E-07,4.15569591906486E-11,-5.68134501678078E-13,-4.49043459520657E-14,1.64964145560981E-11,-1.86628372571013E-12,3.20897756422989E-11,0,0,0,0,0,0,package://RH56F1_R/meshes/right_thumb_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_R/meshes/right_thumb_1.STL,,1..0105_大拇指_asm.063-1/摇块063-1,坐标系1,基准轴1,right_thumb_1_joint,revolute,0.01836,0.027241,0.070511,0,0,0,base_link,8.7274E-05,0,1,1,2,0,1,,,,,,,,
right_thumb_2,-0.0215571758185792,0.0113924553519169,0.00479982740433552,0,0,0,0.00690496327126525,2.26577615077681E-06,6.07715004350064E-07,4.08071120927873E-11,1.39762058544698E-06,-5.31551371480621E-11,2.98817803804921E-06,0,0,0,0,0,0,package://RH56F1_R/meshes/right_thumb_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_R/meshes/right_thumb_2.STL,,1..0105_大拇指_asm.063-1/1..01063大拇指近端外壳-左.063-1,坐标系2,基准轴2,right_thumb_2_joint,revolute,0.0047995,0.013396,-0.0052536,1.5707,0,-1.5708,right_thumb_1,0,0,-1,1,2,0,1,,,,,,,,
right_thumb_3,-0.0113912901331709,0.00241565504627671,0.00795000878482628,0,0,0,0.00402988842698645,4.58300128817666E-07,1.57394712479849E-08,-2.27262446206614E-10,4.19496366023978E-07,5.24650650102909E-10,5.11301362169229E-07,0,0,0,0,0,0,package://RH56F1_R/meshes/right_thumb_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_R/meshes/right_thumb_3.STL,,1..0105_大拇指_asm.063-1/1..01063大拇指中节外壳.063-1,坐标系3,基准轴3,right_thumb_3_joint,revolute,-0.029155,0.03869,-0.0032,0,0,0,right_thumb_2,0,0,-1,1,2,0,1,,,,,,,,
right_thumb_4,-0.0110759317803271,0.00939487969768931,0.00679968395290982,0,0,0,0.00466307997998511,3.58458956639715E-07,8.65986685717351E-08,3.14302420377658E-12,1.73702984124194E-07,-2.14858917337979E-12,3.80406967006198E-07,0,0,0,0,0,0,package://RH56F1_R/meshes/right_thumb_4.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_R/meshes/right_thumb_4.STL,,1..0105_大拇指_asm.063-1/1拇指指尖063-1,坐标系4,基准轴4,right_thumb_4_joint,revolute,-0.01441,0.014648,0.0013,0,0,0,right_thumb_3,0,0,-1,1,2,0,1,,,,,,,,
thumb_force_sensor,0.0048965432924319,0.000707788830417878,-0.00883745365301308,0,0,0,0.00466307997998511,1.80009509847059E-07,-1.50587558750921E-08,9.15976494363022E-08,3.79314581636229E-07,6.12384394172554E-09,3.53244816286819E-07,0,0,0,0,0,0,package://RH56F1_R/meshes/thumb_force_sensor.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_R/meshes/thumb_force_sensor.STL,,1..0105_大拇指_asm.063-1/1拇指指尖063-1,thumb_pad,,thumb_force_sensor_joint,fixed,-0.0082761,0.019128,0.0068,-1.6222,-0.051489,-0.78543,right_thumb_4,0,0,0,,,,,,,,,,,,
thumb_tip,3.77562735170631E-05,-0.0101703967740828,-0.0136494381069971,0,0,0,0.00466307997998511,3.80406196753321E-07,2.57596587520724E-10,4.63885667310744E-10,3.03366475519974E-07,-1.21006810127454E-07,2.28796235496811E-07,0,0,0,0,0,0,package://RH56F1_R/meshes/thumb_tip.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_R/meshes/thumb_tip.STL,,1..0105_大拇指_asm.063-1/1拇指指尖063-1,thumb_tip,,thumb_tip_joint,fixed,-0.017405,0.025196,0.0068001,-1.2971,1.5647,0.01425,right_thumb_4,0,0,0,,,,,,,,,,,,
right_index_1,-0.000212993026995562,0.0129677295658529,0.00699991606902274,0,0,0,0.00374587373945249,5.64076446222548E-07,-1.01452061805985E-08,5.58314239571338E-12,2.40246095781531E-07,-7.35716884545752E-12,5.89332775074462E-07,0,0,0,0,0,0,package://RH56F1_R/meshes/right_index_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_R/meshes/right_index_1.STL,,1..0103_食指手指_asm.063-2/1..01063-指腹左壳.063-1,坐标系5,基准轴5,right_index_1_joint,revolute,0.00070751,0.034376,0.13554,1.5097,0,0,base_link,0,0,1,1,2,0,1,,,,,,,,
right_index_2,-0.00338879238315649,0.0177151142511289,0.00599991267184867,0,0,0,0.00551004446440802,8.4136290934378E-07,-1.48875599687527E-07,3.20834851999957E-12,1.60234264056075E-07,5.88184971883896E-13,8.58414054844471E-07,0,0,0,0,0,0,package://RH56F1_R/meshes/right_index_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_R/meshes/right_index_2.STL,,1..0103_食指手指_asm.063-2/1食指指尖063-1,坐标系6,基准轴6,right_index_2_joint,revolute,0.0031056,0.032854,0.001,0,0,0,right_index_1,0,0,-1,1,2,0,1,,,,,,,,
index_force_sensor,-0.000411923019764227,-0.0123118470405642,-0.00640361541021662,0,0,0,0.00551004441965271,8.55930751467308E-07,-4.27893842541106E-08,-1.80152263520054E-09,1.32089300552552E-07,-1.82639598131122E-08,8.71991191057666E-07,0,0,0,0,0,0,package://RH56F1_R/meshes/index_force_sensor.STL,1,1,1,1,0,0,0,0,0,0,package://RH56F1_R/meshes/index_force_sensor.STL,,1..0103_食指手指_asm.063-2/1食指指尖063-1,坐标系13,,index_force_sensor_joint,fixed,0.005139,0.028671,0.0059996,2.2782,1.4918,2.0953,right_index_2,0,0,0,,,,,,,,,,,,
